,5,16,17,18,19,21,23,24,27,28,30,34,35,36,38,40,42,44,46,47,51,54
lukF-PV,0,0,0,323,68,0,1232,2312,508,739,0,0,0,165,0,3,0,0,0,0,894,0
lukS-PV,0,0,0,390,188,0,1346,1450,371,519,0,0,0,88,0,0,0,0,0,0,1239,0
fnbA,0,0,0,0,0,0,63,77,268,133,0,0,0,20,0,0,0,0,0,0,147,0
clfB,57,0,0,32,0,0,351,120,189,94,0,0,0,164,21,0,0,0,0,60,278,0
fnbB,0,0,0,0,0,0,97,66,130,67,0,0,0,8,0,0,0,0,0,0,160,0
hlgB,0,0,0,0,0,0,86,194,137,40,0,0,0,0,0,0,0,0,0,0,84,0
clfA,0,0,0,0,0,0,6,109,49,74,0,0,0,90,0,0,1,0,0,0,27,0
ear,0,0,0,0,0,0,167,277,0,136,0,0,0,0,0,0,0,0,0,0,95,0
hlgC,0,0,0,32,101,0,71,14,39,0,0,0,0,0,0,0,0,0,0,0,194,0
coa,0,0,0,0,0,0,21,0,44,13,0,0,0,0,0,0,0,0,0,0,70,0
lukD,0,0,0,0,0,0,18,13,0,29,0,0,0,0,0,0,0,0,0,0,0,0
hlgA,0,0,0,0,43,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0
sdrC,0,0,0,0,0,0,0,10,12,20,0,0,0,0,0,0,0,0,0,12,0,0
sdrD,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
lukE,0,0,0,0,0,0,26,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sdrE,0,0,0,0,0,0,5,7,25,11,0,0,0,0,0,0,0,0,0,0,4,0
sspA,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
arcA,24,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0
arcB,202,0,0,29,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arcC,32,0,0,96,0,0,25,10,99,35,0,0,0,0,0,0,0,0,0,0,84,0
arcD,168,79,0,15,20,0,64,22,31,30,0,0,0,0,0,0,0,0,0,0,44,0
argR,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tnp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
set7,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aroE,0,0,0,0,0,0,21,92,0,0,0,0,0,0,0,0,0,0,0,83,24,0
glpF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
gmk,29,0,0,0,0,0,84,241,0,34,0,0,0,0,0,0,0,0,0,0,229,0
pbp2,0,0,0,22,0,0,165,203,69,150,0,0,0,0,19,0,0,0,0,0,240,0
