16_S3_L001Log.final.out:,Uniquely mapped reads % |,4.76%
17_S4_L001Log.final.out:,Uniquely mapped reads % |,0.79%
18_S1_L001Log.final.out:,Uniquely mapped reads % |,2.44%
19_S2_L001Log.final.out:,Uniquely mapped reads % |,1.75%
21_S3_L001Log.final.out:,Uniquely mapped reads % |,2.88%
23_S3_L001Log.final.out:,Uniquely mapped reads % |,4.86%
24_S2_L001Log.final.out:,Uniquely mapped reads % |,5.70%
27_S1_L001Log.final.out:,Uniquely mapped reads % |,31.47%
28_S4_L001Log.final.out:,Uniquely mapped reads % |,7.63%
30_S3_L001Log.final.out:,Uniquely mapped reads % |,0.07%
34_S1_L001Log.final.out:,Uniquely mapped reads % |,0.05%
35_S4_L001Log.final.out:,Uniquely mapped reads % |,0.05%
36_S1_L001Log.final.out:,Uniquely mapped reads % |,1.55%
38_S2_L001Log.final.out:,Uniquely mapped reads % |,0.76%
40_S2_L001Log.final.out:,Uniquely mapped reads % |,0.12%
42_S3_L001Log.final.out:,Uniquely mapped reads % |,0.05%
44_S3_L001Log.final.out:,Uniquely mapped reads % |,0.01%
45_S1_L001Log.final.out:,Uniquely mapped reads % |,6.82%
46_S4_L001Log.final.out:,Uniquely mapped reads % |,0.14%
47_S4_L001Log.final.out:,Uniquely mapped reads % |,0.11%
51_S2_L001Log.final.out:,Uniquely mapped reads % |,7.58%
54_S4_L001Log.final.out:,Uniquely mapped reads % |,5.68%
5_S1_L001Log.final.out:,Uniquely mapped reads % |, 0.23%
8_S2_L001Log.final.out:,Uniquely mapped reads % |, 0.14%
